unique_key,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
5994630,HN402301,2007-06-11 09:00:00.000000 UTC,0000X S WACKER DR,0810,THEFT,OVER $500,OTHER,false,false,111,1,2,32,06,1173874.0,1900074.0,2007,2018-02-28 03:56:25.000000 UTC,41.88121504,-87.637001425,"(41.88121504, -87.637001425)"
5977901,HN772645,2007-12-22 11:46:00.000000 UTC,006XX W JACKSON BLVD,0810,THEFT,OVER $500,STREET,false,false,111,1,2,28,06,1172276.0,1898889.0,2007,2018-02-28 03:56:25.000000 UTC,41.87799875,-87.642904147,"(41.87799875, -87.642904147)"
6187479,HP277072,2008-04-11 10:00:00.000000 UTC,005XX W MADISON ST,0810,THEFT,OVER $500,STREET,false,false,111,1,42,28,06,1173039.0,1900311.0,2008,2018-02-28 03:56:25.000000 UTC,41.881883933,-87.640060441,"(41.881883933, -87.640060441)"
6271887,HP360121,2008-05-27 07:00:00.000000 UTC,002XX S CANAL ST,0810,THEFT,OVER $500,SIDEWALK,false,false,111,1,2,28,06,1173177.0,1899236.0,2008,2018-02-28 03:56:25.000000 UTC,41.878931004,-87.639585621,"(41.878931004, -87.639585621)"
6269874,HP357496,2008-05-26 10:30:00.000000 UTC,001XX N DESPLAINES ST,0810,THEFT,OVER $500,STREET,false,false,111,1,27,28,06,1171916.0,1900821.0,2008,2018-02-28 03:56:25.000000 UTC,41.883308226,-87.644169006,"(41.883308226, -87.644169006)"
6286365,HP375640,2008-06-04 06:30:00.000000 UTC,001XX N DESPLAINES ST,0810,THEFT,OVER $500,STREET,false,false,111,1,27,28,06,1171908.0,1901051.0,2008,2018-02-10 03:50:01.000000 UTC,41.883939537,-87.6441916,"(41.883939537, -87.6441916)"
12574861,JE486059,2021-12-20 03:50:00.000000 UTC,0000X E WACKER DR,0810,THEFT,OVER $500,HOTEL / MOTEL,false,false,111,1,42,32,06,1176971.0,1902537.0,2021,2021-12-27 03:41:40.000000 UTC,41.887904127,-87.625554948,"(41.887904127, -87.625554948)"
2614806,HJ217778,2003-03-04 08:30:00.000000 UTC,006XX W MADISON ST,0810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),false,false,111,1,42,28,06,1172043.0,1900282.0,2003,2018-02-28 03:56:25.000000 UTC,41.881826375,-87.643718562,"(41.881826375, -87.643718562)"
2630447,HJ232626,2003-03-11 09:00:00.000000 UTC,001XX N CLINTON ST,0810,THEFT,OVER $500,STREET,false,false,111,1,42,28,06,1172696.0,1901411.0,2003,2018-02-28 03:56:25.000000 UTC,41.884909999,-87.641287348,"(41.884909999, -87.641287348)"
2600722,HJ198558,2003-02-21 09:00:00.000000 UTC,005XX W MADISON ST,0810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),false,false,111,1,42,28,06,1172573.0,1900294.0,2003,2018-02-28 03:56:25.000000 UTC,41.881847601,-87.641772074,"(41.881847601, -87.641772074)"
